,id,Premises,Relations,Prompt,Correct,Type,n_p,Derivation,pPrems,pCorrect,taskPremise,Premise1,Premise2,extraPremises,option1,option2,option3
109,2,"['You think it is okay to cry sometimes here today', 'I thought crying is for children there yesterday.']",['IPthinking+temporal+spatial'],"Select all questions to which the answer is 'no'.
You think it is okay to cry sometimes here today. I thought crying is for children there yesterday. If I were you and you were me,                 if today were yesterday and yesterday were today,                     and if here were there and there were here;","[0, 0, 1]",IP+Temporal+Spatial Reversal,2,Mutual,"
1: Would you think crying is for children here today?
2: Would I have thought it is okay to cry sometimes there yesterday?
3: Would you think it is okay to cry sometimes here today?","['no select', 'no select', 'select']",Select all questions to which the answer is 'no'.,You think it is okay to cry sometimes here today,I thought crying is for children there yesterday.,"If I were you and you were me,                 if today were yesterday and yesterday were today,                     and if here were there and there were here;",Would you think crying is for children here today?,Would I have thought it is okay to cry sometimes there yesterday?,Would you think it is okay to cry sometimes here today?
110,3,"['I think psychology is a science here today', 'You thought psychology is pseudoscience there yesterday.']",['IPthinking+temporal+spatial'],"Select all questions to which the answer is 'no'.
I think psychology is a science here today. You thought psychology is pseudoscience there yesterday.","[1, 0, 1]",Regular,2,Mutual,"
1: Did you think psychology is a science there yesterday?
2: Did you think psychology is pseudoscience there yesterday?
3: Do I think psychology is pseudoscience here today?","['select', 'no select', 'select']",Select all questions to which the answer is 'no'.,I think psychology is a science here today,You thought psychology is pseudoscience there yesterday.,,Did you think psychology is a science there yesterday?,Did you think psychology is pseudoscience there yesterday?,Do I think psychology is pseudoscience here today?
111,4,"['I think psychology is a science here today', 'You thought psychology is pseudoscience there yesterday.']",['IPthinking+temporal+spatial'],"Select all questions to which the answer is 'no'.
I think psychology is a science here today. You thought psychology is pseudoscience there yesterday. If I were you and you were me,                 if today were yesterday and yesterday were today,                     and if here were there and there were here;","[1, 1, 0]",IP+Temporal+Spatial Reversal,2,Mutual,"
1: Would you have thought psychology is pseudoscience there yesterday?
2: Would I think psychology is a science here today?
3: Would you have thought psychology is a science there yesterday?","['select', 'select', 'no select']",Select all questions to which the answer is 'no'.,I think psychology is a science here today,You thought psychology is pseudoscience there yesterday.,"If I were you and you were me,                 if today were yesterday and yesterday were today,                     and if here were there and there were here;",Would you have thought psychology is pseudoscience there yesterday?,Would I think psychology is a science here today?,Would you have thought psychology is a science there yesterday?
112,5,"['I think Titanic is a great movie here today', 'You thought Titanic is a boring movie there yesterday.']",['IPthinking+temporal+spatial'],"Select all questions to which the answer is 'yes'.
I think Titanic is a great movie here today. You thought Titanic is a boring movie there yesterday.","[1, 0, 0]",Regular,2,Mutual,"
1: Do I think Titanic is a great movie here today?
2: Did you think Titanic is a great movie there yesterday?
3: Do I think Titanic is a boring movie here today?","['select', 'no select', 'no select']",Select all questions to which the answer is 'yes'.,I think Titanic is a great movie here today,You thought Titanic is a boring movie there yesterday.,,Do I think Titanic is a great movie here today?,Did you think Titanic is a great movie there yesterday?,Do I think Titanic is a boring movie here today?
113,6,"['I think Titanic is a great movie here today', 'You thought Titanic is a boring movie there yesterday.']",['IPthinking+temporal+spatial'],"Select all questions to which the answer is 'no'.
I think Titanic is a great movie here today. You thought Titanic is a boring movie there yesterday. If I were you and you were me,                 if today were yesterday and yesterday were today,                     and if here were there and there were here;","[1, 0, 1]",IP+Temporal+Spatial Reversal,2,Mutual,"
1: Would you have thought Titanic is a boring movie there yesterday?
2: Would I think Titanic is a boring movie here today?
3: Would I think Titanic is a great movie here today?","['select', 'no select', 'select']",Select all questions to which the answer is 'no'.,I think Titanic is a great movie here today,You thought Titanic is a boring movie there yesterday.,"If I were you and you were me,                 if today were yesterday and yesterday were today,                     and if here were there and there were here;",Would you have thought Titanic is a boring movie there yesterday?,Would I think Titanic is a boring movie here today?,Would I think Titanic is a great movie here today?
114,7,"['I feel a little hot here today', 'You felt a little cold there yesterday.']",['IPfeeling+temporal+spatial'],"Select all questions to which the answer is 'yes'.
I feel a little hot here today. You felt a little cold there yesterday.","[0, 0, 1]",Regular,2,Mutual,"
1: Do I feel a little cold here today?
2: Did you feel a little hot there yesterday?
3: Did you feel a little cold there yesterday?","['no select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,I feel a little hot here today,You felt a little cold there yesterday.,,Do I feel a little cold here today?,Did you feel a little hot there yesterday?,Did you feel a little cold there yesterday?
115,8,"['I feel a little hot here today', 'You felt a little cold there yesterday.']",['IPfeeling+temporal+spatial'],"Select all questions to which the answer is 'no'.
I feel a little hot here today. You felt a little cold there yesterday. If I were you and you were me,                 if today were yesterday and yesterday were today,                     and if here were there and there were here;","[0, 1, 0]",IP+Temporal+Spatial Reversal,2,Mutual,"
1: Would you have felt a little hot there yesterday?
2: Would you have felt a little cold there yesterday?
3: Would I feel a little cold here today?","['no select', 'select', 'no select']",Select all questions to which the answer is 'no'.,I feel a little hot here today,You felt a little cold there yesterday.,"If I were you and you were me,                 if today were yesterday and yesterday were today,                     and if here were there and there were here;",Would you have felt a little hot there yesterday?,Would you have felt a little cold there yesterday?,Would I feel a little cold here today?
116,9,"['You feel a little sick here today', 'I felt completely healthy there yesterday.']",['IPfeeling+temporal+spatial'],"Select all questions to which the answer is 'yes'.
You feel a little sick here today. I felt completely healthy there yesterday.","[1, 0, 1]",Regular,2,Mutual,"
1: Did I feel completely healthy there yesterday?
2: Do you feel completely healthy here today?
3: Do you feel a little sick here today?","['select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,You feel a little sick here today,I felt completely healthy there yesterday.,,Did I feel completely healthy there yesterday?,Do you feel completely healthy here today?,Do you feel a little sick here today?
117,10,"['You feel a little sick here today', 'I felt completely healthy there yesterday.']",['IPfeeling+temporal+spatial'],"Select all questions to which the answer is 'yes'.
You feel a little sick here today. I felt completely healthy there yesterday. If I were you and you were me,                 if today were yesterday and yesterday were today,                     and if here were there and there were here;","[0, 0, 1]",IP+Temporal+Spatial Reversal,2,Mutual,"
1: Would you feel a little sick here today?
2: Would I have felt completely healthy there yesterday?
3: Would I have felt a little sick there yesterday?","['no select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,You feel a little sick here today,I felt completely healthy there yesterday.,"If I were you and you were me,                 if today were yesterday and yesterday were today,                     and if here were there and there were here;",Would you feel a little sick here today?,Would I have felt completely healthy there yesterday?,Would I have felt a little sick there yesterday?
118,11,"['I feel scared at night here today', 'You felt comfortable there yesterday.']",['IPfeeling+temporal+spatial'],"Select all questions to which the answer is 'no'.
I feel scared at night here today. You felt comfortable there yesterday.","[0, 0, 1]",Regular,2,Mutual,"
1: Do I feel scared at night here today?
2: Did you feel comfortable there yesterday?
3: Did you feel scared at night there yesterday?","['no select', 'no select', 'select']",Select all questions to which the answer is 'no'.,I feel scared at night here today,You felt comfortable there yesterday.,,Do I feel scared at night here today?,Did you feel comfortable there yesterday?,Did you feel scared at night there yesterday?
119,12,"['I feel scared at night here today', 'You felt comfortable there yesterday.']",['IPfeeling+temporal+spatial'],"Select all questions to which the answer is 'no'.
I feel scared at night here today. You felt comfortable there yesterday. If I were you and you were me,                 if today were yesterday and yesterday were today,                     and if here were there and there were here;","[0, 1, 1]",IP+Temporal+Spatial Reversal,2,Mutual,"
1: Would you have felt scared at night there yesterday?
2: Would I feel scared at night here today?
3: Would you have felt comfortable there yesterday?","['no select', 'select', 'select']",Select all questions to which the answer is 'no'.,I feel scared at night here today,You felt comfortable there yesterday.,"If I were you and you were me,                 if today were yesterday and yesterday were today,                     and if here were there and there were here;",Would you have felt scared at night there yesterday?,Would I feel scared at night here today?,Would you have felt comfortable there yesterday?
120,13,"['You are working in the garden here today', 'I was doing the dishes there yesterday.']",['IPdoing+temporal+spatial'],"Select all questions to which the answer is 'no'.
You are working in the garden here today. I was doing the dishes there yesterday.","[1, 0, 0]",Regular,2,Mutual,"
1: Are you doing the dishes here today?
2: Was I doing the dishes there yesterday?
3: Are you working in the garden here today?","['select', 'no select', 'no select']",Select all questions to which the answer is 'no'.,You are working in the garden here today,I was doing the dishes there yesterday.,,Are you doing the dishes here today?,Was I doing the dishes there yesterday?,Are you working in the garden here today?
121,14,"['You are working in the garden here today', 'I was doing the dishes there yesterday.']",['IPdoing+temporal+spatial'],"Select all questions to which the answer is 'yes'.
You are working in the garden here today. I was doing the dishes there yesterday. If I were you and you were me,                 if today were yesterday and yesterday were today,                     and if here were there and there were here;","[1, 0, 1]",IP+Temporal+Spatial Reversal,2,Mutual,"
1: Would you be doing the dishes here today?
2: Would you be working in the garden here today?
3: Would I have been working in the garden there yesterday?","['select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,You are working in the garden here today,I was doing the dishes there yesterday.,"If I were you and you were me,                 if today were yesterday and yesterday were today,                     and if here were there and there were here;",Would you be doing the dishes here today?,Would you be working in the garden here today?,Would I have been working in the garden there yesterday?
122,15,"['You are taking a bath here today', 'I was taking a shower there yesterday.']",['IPdoing+temporal+spatial'],"Select all questions to which the answer is 'yes'.
You are taking a bath here today. I was taking a shower there yesterday.","[1, 0, 1]",Regular,2,Mutual,"
1: Was I taking a shower there yesterday?
2: Are you taking a shower here today?
3: Are you taking a bath here today?","['select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,You are taking a bath here today,I was taking a shower there yesterday.,,Was I taking a shower there yesterday?,Are you taking a shower here today?,Are you taking a bath here today?
123,16,"['You are taking a bath here today', 'I was taking a shower there yesterday.']",['IPdoing+temporal+spatial'],"Select all questions to which the answer is 'yes'.
You are taking a bath here today. I was taking a shower there yesterday. If I were you and you were me,                 if today were yesterday and yesterday were today,                     and if here were there and there were here;","[0, 0, 1]",IP+Temporal+Spatial Reversal,2,Mutual,"
1: Would you be taking a bath here today?
2: Would I have been taking a shower there yesterday?
3: Would you be taking a shower here today?","['no select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,You are taking a bath here today,I was taking a shower there yesterday.,"If I were you and you were me,                 if today were yesterday and yesterday were today,                     and if here were there and there were here;",Would you be taking a bath here today?,Would I have been taking a shower there yesterday?,Would you be taking a shower here today?
124,17,"['I am doing laundry here today', 'You were hanging out with friends there yesterday.']",['IPdoing+temporal+spatial'],"Select all questions to which the answer is 'yes'.
I am doing laundry here today. You were hanging out with friends there yesterday.","[0, 0, 1]",Regular,2,Mutual,"
1: Am I hanging out with friends here today?
2: Were you doing laundry there yesterday?
3: Were you hanging out with friends there yesterday?","['no select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,I am doing laundry here today,You were hanging out with friends there yesterday.,,Am I hanging out with friends here today?,Were you doing laundry there yesterday?,Were you hanging out with friends there yesterday?
125,18,"['I am doing laundry here today', 'You were hanging out with friends there yesterday.']",['IPdoing+temporal+spatial'],"Select all questions to which the answer is 'yes'.
I am doing laundry here today. You were hanging out with friends there yesterday. If I were you and you were me,                 if today were yesterday and yesterday were today,                     and if here were there and there were here;","[0, 1, 0]",IP+Temporal+Spatial Reversal,2,Mutual,"
1: Would I be doing laundry here today?
2: Would I be hanging out with friends here today?
3: Would you have been hanging out with friends there yesterday?","['no select', 'select', 'no select']",Select all questions to which the answer is 'yes'.,I am doing laundry here today,You were hanging out with friends there yesterday.,"If I were you and you were me,                 if today were yesterday and yesterday were today,                     and if here were there and there were here;",Would I be doing laundry here today?,Would I be hanging out with friends here today?,Would you have been hanging out with friends there yesterday?
